record_id,experiment_id,figure_panel,cell_line,assay,observable,variant,dose_nM,time_min,condition,inhibitor,inhibitor_concentration_uM,value,value_unit,replicate_count,dispersion_value,extraction_method,evidence_class
fig5c_WT_1min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,WT,200,1,control,,,96.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_WT_5min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,WT,200,5,control,,,96.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_WT_15min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,WT,200,15,control,,,96.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_WT_60min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,WT,200,60,control,,,87.7,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_WT_90min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,WT,200,90,control,,,71.2,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_WT_120min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,WT,200,120,control,,,55.5,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_WT_240min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,WT,200,240,control,,,49.3,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_WT_300min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,WT,200,300,control,,,38.4,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_A11_1min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,A11,200,1,control,,,93.2,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_A11_5min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,A11,200,5,control,,,97.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_A11_15min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,A11,200,15,control,,,92.5,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_A11_60min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,A11,200,60,control,,,87,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_A11_90min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,A11,200,90,control,,,76.7,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_A11_120min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,A11,200,120,control,,,59.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_A11_240min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,A11,200,240,control,,,54.1,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_A11_300min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,A11,200,300,control,,,47.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C10_1min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C10,200,1,control,,,85.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C10_5min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C10,200,5,control,,,84.2,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C10_15min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C10,200,15,control,,,74.7,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C10_60min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C10,200,60,control,,,71.2,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C10_90min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C10,200,90,control,,,56.8,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C10_120min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C10,200,120,control,,,51.4,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig5c_C10_240min,moraga2015_fig5c,Figure 5C,A549,phospho-flow cytometry,pSTAT6,C10,200,240,control,,,43.8,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
